,FID Scores
0,59.841781914508864
1,59.12778328088715
2,57.7582646934495
3,55.1899502526509
4,53.04754977572935
5,52.49988987330905
6,52.62766874374759
7,52.80397733712425
8,53.63654059997785
9,54.37560299261136
10,54.39611081236422
