,FID Scores
0,59.487245539694634
1,58.029905760603285
2,56.41251318250786
3,55.53987715815245
4,53.33247199302287
5,53.00776244044071
6,54.00820465696829
7,54.527251926824064
8,54.33498475678018
9,53.61291225005754
10,53.60058964624782
