,FID Scores
0,54.68031587167539
1,52.929439980434545
2,51.65167312642044
3,50.84413532806664
4,49.967340478692606
5,49.13448772245793
6,47.59623776007628
7,48.8171449590008
8,48.25048231042396
9,47.85797076706156
10,47.845010426510896
