,FID Scores
0,14.08889289169428
1,13.213556106026124
2,11.839645291552767
3,9.794023186416839
4,8.13660592913521
5,8.264415826445196
6,7.02466851771413
7,8.356050844795138
8,9.13759358007295
9,8.459856180014294
10,8.470899947580367
